title,author,language,year,copiesSold,genre
A Tale of Two Cities,Charles Dickens,English,1859,200 million,Historical fiction
The Hobbit,J. R. R. Tolkien,English,1937,140.6 million[19],Fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million[17][18],Fantasy
The Little Prince,Antoine de Saint-Exupéry,French,1943,100 million[19],Novella
Dream of the Red Chamber,Cao Xueqin,Chinese,1800,100 million[19],Family saga
And Then There Were None,Agatha Christie,English,1939,100 million[20],Mystery
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85 million[21],Fantasy
She: A History of Adventure,H. Rider Haggard,English,1887,83 million[22],Adventure
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,80 million[23][24],Fantasy
The Da Vinci Code,Dan Brown,English,2003,80 million[25],Mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million[26],Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million[27],Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million[27],Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65 million[27],Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million[27],Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million[27],Fantasy
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65 million[28][29],Fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65 million [30],Coming-of-age
The Bridges of Madison County,Robert James Waller,English,1992,60 million[31],Romance
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50 million[32],Historical
You Can Heal Your Life,Louise Hay,English,1984,50 million[33],Self-improvement
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 million[34][35][36],Magic realism
Lolita,Vladimir Nabokov,English,1955,50 million[37],General
Heidi,Johanna Spyri,Swiss German,1880,50 million[38],Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million[39],Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million[40],General
